iter	Passed	Remaining
422	5705	7782
423	5718	7768
424	5732	7755
425	5746	7742
426	5759	7728
427	5772	7715
428	5785	7700
429	5798	7686
430	5812	7673
431	5825	7659
432	5839	7646
433	5851	7631
434	5864	7617
435	5877	7603
436	5890	7588
437	5904	7575
438	5917	7561
439	5930	7548
440	5943	7533
441	5956	7519
442	5970	7507
443	5984	7493
444	5997	7480
445	6010	7466
446	6023	7452
447	6036	7438
448	6049	7423
449	6062	7409
450	6075	7396
451	6089	7382
452	6105	7372
453	6121	7361
454	6135	7349
455	6149	7335
456	6161	7321
457	6175	7308
458	6189	7294
459	6203	7282
460	6218	7270
461	6231	7256
462	6245	7243
463	6258	7229
464	6272	7216
465	6285	7202
466	6297	7187
467	6311	7174
468	6325	7161
469	6338	7148
470	6351	7134
471	6364	7120
472	6377	7105
473	6391	7092
474	6404	7078
475	6418	7065
476	6431	7051
477	6444	7037
478	6457	7023
479	6471	7010
480	6484	6996
481	6498	6983
482	6511	6969
483	6525	6956
484	6538	6943
485	6551	6928
486	6565	6915
487	6578	6902
488	6591	6887
489	6605	6874
490	6618	6861
491	6632	6847
492	6645	6833
493	6657	6819
494	6671	6806
495	6685	6793
496	6699	6780
497	6712	6766
498	6725	6752
499	6739	6739
500	6752	6725
501	6766	6712
502	6780	6699
503	6794	6686
504	6808	6673
505	6820	6659
506	6834	6645
507	6847	6631
508	6860	6618
509	6874	6604
510	6887	6590
511	6900	6576
512	6913	6563
513	6927	6549
514	6940	6536
515	6953	6522
516	6967	6508
517	6979	6494
518	6993	6481
519	7006	6467
520	7019	6454
521	7033	6440
522	7046	6426
523	7060	6414
524	7073	6400
525	7089	6388
526	7104	6376
527	7117	6362
528	7131	6349
529	7143	6334
530	7156	6320
531	7168	6306
532	7181	6292
533	7195	6279
534	7209	6265
535	7223	6252
536	7235	6238
537	7248	6224
538	7261	6210
539	7275	6197
540	7289	6184
541	7302	6171
542	7317	6158
543	7331	6145
544	7345	6132
545	7359	6119
546	7373	6106
547	7386	6092
548	7400	6079
549	7414	6066
550	7429	6054
551	7443	6041
552	7456	6027
553	7469	6013
554	7482	5999
555	7495	5985
556	7509	5972
557	7523	5959
558	7537	5946
559	7550	5932
560	7563	5918
561	7577	5905
562	7591	5892
563	7604	5878
564	7617	5864
565	7629	5850
566	7643	5837
567	7656	5823
568	7670	5809
569	7683	5795
570	7696	5782
571	7710	5769
572	7724	5756
573	7737	5742
574	7751	5729
575	7764	5715
576	7776	5701
577	7790	5687
578	7805	5675
579	7821	5663
580	7835	5650
581	7849	5637
582	7862	5623
583	7875	5610
584	7888	5596
585	7901	5582
586	7915	5569
587	7929	5555
588	7943	5542
589	7957	5529
590	7970	5515
591	7983	5502
592	7996	5488
593	8009	5474
594	8022	5460
595	8036	5447
596	8049	5433
597	8062	5419
598	8076	5406
599	8090	5393
600	8103	5380
601	8117	5366
602	8130	5352
603	8143	5338
604	8156	5325
605	8170	5311
606	8183	5298
607	8198	5285
608	8212	5272
609	8224	5258
610	8238	5244
611	8251	5231
612	8265	5218
613	8280	5205
614	8294	5192
615	8306	5178
616	8320	5164
617	8334	5151
618	8348	5138
619	8361	5124
620	8375	5111
621	8388	5097
622	8401	5084
623	8415	5070
624	8428	5057
625	8442	5043
626	8455	5029
627	8469	5016
628	8484	5004
629	8498	4991
630	8512	4977
631	8525	4964
632	8538	4950
633	8551	4936
634	8565	4923
635	8580	4911
636	8595	4898
637	8609	4884
638	8623	4871
639	8636	4857
640	8651	4845
641	8665	4832
642	8679	4819
643	8694	4806
644	8709	4793
645	8728	4783
646	8742	4769
647	8756	4756
648	8770	4743
649	8783	4729
650	8797	4716
651	8811	4703
652	8825	4690
653	8839	4676
654	8853	4663
655	8866	4649
656	8880	4636
657	8895	4623
658	8908	4609
659	8922	4596
660	8936	4583
661	8949	4569
662	8963	4555
663	8977	4542
664	8990	4529
665	9004	4515
666	9018	4502
667	9032	4489
668	9046	4475
669	9061	4462
670	9075	4449
671	9089	4436
672	9104	4423
673	9119	4410
674	9134	4398
675	9147	4384
676	9161	4370
677	9175	4357
678	9189	4344
679	9204	4331
680	9218	4318
681	9235	4306
682	9248	4292
683	9261	4278
684	9275	4265
685	9289	4252
686	9303	4238
687	9317	4225
688	9331	4211
689	9344	4198
690	9358	4185
691	9372	4171
692	9387	4158
693	9401	4145
694	9415	4131
695	9428	4118
696	9442	4105
697	9458	4092
698	9472	4078
699	9486	4065
700	9500	4052
701	9513	4038
702	9526	4024
703	9540	4011
704	9554	3997
705	9568	3984
706	9582	3971
707	9597	3958
708	9611	3944
709	9624	3931
710	9639	3917
711	9653	3904
712	9667	3891
713	9680	3877
714	9694	3864
715	9707	3850
716	9721	3837
717	9736	3823
718	9749	3810
719	9764	3797
720	9778	3783
721	9791	3770
722	9805	3756
723	9819	3743
724	9838	3731
725	9853	3718
726	9867	3705
727	9881	3692
728	9896	3678
729	9909	3665
730	9924	3651
731	9938	3638
732	9952	3625
733	9967	3612
734	9981	3598
735	9994	3585
736	10008	3571
737	10022	3558
738	10036	3544
739	10050	3531
740	10065	3518
741	10079	3504
742	10093	3491
743	10107	3477
744	10121	3464
745	10134	3450
746	10149	3437
747	10163	3424
748	10178	3411
749	10193	3397
750	10207	3384
751	10221	3370
752	10234	3357
753	10249	3343
754	10263	3330
755	10276	3316
756	10291	3303
757	10305	3290
758	10318	3276
759	10332	3262
760	10346	3249
761	10361	3236
762	10375	3222
763	10389	3209
764	10403	3195
765	10416	3182
766	10430	3168
767	10444	3155
768	10458	3141
769	10475	3128
770	10490	3115
771	10504	3102
772	10517	3088
773	10531	3075
774	10546	3061
775	10560	3048
776	10574	3035
777	10588	3021
778	10602	3007
779	10615	2994
780	10629	2980
781	10643	2967
782	10658	2953
783	10672	2940
784	10687	2927
785	10701	2913
786	10714	2899
787	10728	2886
788	10742	2872
789	10756	2859
790	10770	2845
791	10784	2832
792	10798	2818
793	10813	2805
794	10827	2791
795	10841	2778
796	10857	2765
797	10872	2752
798	10886	2738
799	10900	2725
800	10914	2711
801	10927	2697
802	10942	2684
803	10956	2670
804	10970	2657
805	10984	2643
806	10998	2630
807	11012	2616
808	11025	2603
809	11039	2589
810	11054	2576
811	11069	2562
812	11083	2549
813	11097	2535
814	11111	2522
815	11126	2508
816	11141	2495
817	11156	2482
818	11170	2468
819	11184	2455
820	11198	2441
821	11211	2427
822	11225	2414
823	11240	2400
824	11253	2387
825	11267	2373
826	11282	2360
827	11295	2346
828	11309	2332
829	11323	2319
830	11337	2305
831	11352	2292
832	11366	2278
833	11381	2265
834	11395	2251
835	11409	2238
836	11424	2224
837	11438	2211
838	11453	2197
839	11468	2184
840	11482	2170
841	11496	2157
842	11512	2144
843	11525	2130
844	11539	2116
845	11553	2103
846	11567	2089
847	11582	2076
848	11595	2062
849	11610	2048
850	11624	2035
851	11638	2021
852	11652	2008
853	11667	1994
854	11681	1981
855	11696	1967
856	11709	1953
857	11723	1940
858	11737	1926
859	11752	1913
860	11766	1899
861	11780	1885
862	11794	1872
863	11808	1858
864	11822	1845
865	11837	1831
866	11851	1818
867	11866	1804
868	11880	1790
869	11893	1777
870	11907	1763
871	11921	1749
872	11934	1736
873	11948	1722
874	11962	1708
875	11977	1695
876	11991	1681
877	12005	1668
878	12019	1654
879	12033	1640
880	12047	1627
881	12061	1613
882	12076	1600
883	12089	1586
884	12103	1572
885	12117	1559
886	12131	1545
887	12144	1531
888	12158	1518
889	12173	1504
890	12186	1490
891	12200	1477
892	12214	1463
893	12228	1449
894	12243	1436
895	12258	1422
896	12272	1409
897	12285	1395
898	12300	1381
899	12313	1368
900	12327	1354
901	12341	1340
902	12355	1327
903	12369	1313
904	12383	1299
905	12397	1286
906	12411	1272
907	12425	1259
908	12439	1245
909	12453	1231
910	12466	1217
911	12479	1204
912	12493	1190
913	12507	1176
914	12522	1163
915	12536	1149
916	12550	1135
917	12563	1122
918	12576	1108
919	12590	1094
920	12605	1081
921	12618	1067
922	12632	1053
923	12646	1040
924	12660	1026
925	12674	1012
926	12688	999
927	12702	985
928	12715	971
929	12729	958
930	12742	944
931	12756	930
932	12770	917
933	12785	903
934	12799	889
935	12813	876
936	12827	862
937	12840	848
938	12854	835
939	12868	821
940	12881	807
941	12897	794
942	12911	780
943	12925	766
944	12939	753
945	12954	739
946	12968	725
947	12982	712
948	12997	698
949	13013	684
950	13031	671
951	13045	657
952	13060	644
953	13074	630
954	13088	616
955	13102	603
956	13117	589
957	13131	575
958	13145	561
959	13160	548
960	13174	534
961	13187	520
962	13201	507
963	13215	493
964	13230	479
965	13244	466
966	13257	452
967	13271	438
968	13284	424
969	13298	411
970	13312	397
971	13326	383
972	13340	370
973	13353	356
974	13368	342
975	13382	329
976	13396	315
977	13410	301
978	13425	287
979	13438	274
980	13451	260
981	13466	246
982	13480	233
983	13493	219
984	13507	205
985	13521	191
986	13535	178
987	13549	164
988	13563	150
989	13577	137
990	13591	123
991	13605	109
992	13618	96
993	13633	82
994	13647	68
995	13662	54
996	13675	41
997	13689	27
998	13703	13
999	13716	0
