iter	Logloss
0	0.6260591065
1	0.5698478995
2	0.5199269908
3	0.4793495605
4	0.4447733982
5	0.4154088548
6	0.3902462175
7	0.3684049179
8	0.3499225298
9	0.3324052024
10	0.3173235367
11	0.3039407943
12	0.2934571713
13	0.2824797125
14	0.2736654893
15	0.2661275285
16	0.2599331884
17	0.2538310793
18	0.2476217779
19	0.242997156
20	0.2382641851
21	0.2346162082
22	0.2304194621
23	0.2273856113
24	0.2246627553
25	0.2223142782
26	0.2201952079
27	0.2172744781
28	0.2151934463
29	0.2134453199
30	0.2115049386
31	0.2092427431
32	0.2073989721
33	0.2057983926
34	0.2042738226
35	0.2024944771
36	0.2007898327
37	0.1989637986
38	0.1975215828
39	0.1963785791
40	0.1955321281
41	0.1945104563
42	0.1935269046
43	0.1925238721
44	0.1913089091
45	0.1903898331
46	0.189637803
47	0.1888579488
48	0.1881208797
49	0.1875303952
50	0.1867375929
51	0.1858205527
52	0.1851337742
53	0.1834295619
54	0.1828090299
55	0.1822238312
56	0.1815663865
57	0.1803640144
58	0.1796515634
59	0.17877103
60	0.1782169201
61	0.1775834668
62	0.1769347926
63	0.1763762775
64	0.1759259001
65	0.1754392223
66	0.1748149784
67	0.1742885769
68	0.1740444208
69	0.1734759882
70	0.1729570176
71	0.1724612687
72	0.1718661209
73	0.1710672864
74	0.1699955225
75	0.1694017257
76	0.1691312318
77	0.1685573517
78	0.1678895918
79	0.1674979544
80	0.1669683774
81	0.1664880301
82	0.1662245833
83	0.1658383191
84	0.1651896682
85	0.1648580943
86	0.1644363704
87	0.1638546384
88	0.1634735487
89	0.1630733392
90	0.1626846822
91	0.1622578759
92	0.1615952845
93	0.1611281301
94	0.1609791832
95	0.1606649297
96	0.1600035756
97	0.1597076784
98	0.1594198468
99	0.1591665805
100	0.1586632814
101	0.1584101736
102	0.1578926515
103	0.1573954233
104	0.1569948987
105	0.1567069847
106	0.1563932959
107	0.1559067099
108	0.1554290942
109	0.1551569165
110	0.1548700192
111	0.1544344677
112	0.154026673
113	0.1536469906
114	0.1531378174
115	0.152864465
116	0.1522338792
117	0.1519519364
118	0.1515964683
119	0.1511852308
120	0.1507810294
121	0.1503863493
122	0.15004153
123	0.1496575426
124	0.1493626474
125	0.1490251558
126	0.1487256143
127	0.1482760858
128	0.147955786
129	0.147798665
130	0.1474413313
131	0.1467864885
132	0.1464834139
133	0.1461841173
134	0.1459129076
135	0.145640343
136	0.1452759871
137	0.1448608296
138	0.1444379482
139	0.1439133628
140	0.1436510843
141	0.1433767945
142	0.1430445392
143	0.1427410105
144	0.1424057845
145	0.1420879574
146	0.1418772989
147	0.141581342
148	0.1413211914
149	0.1411849017
150	0.1407435252
151	0.1403949484
152	0.140117363
153	0.1398960921
154	0.1395643935
155	0.1392285297
156	0.1389160005
157	0.138642409
158	0.1383727377
159	0.1381572171
160	0.1377269623
161	0.137511524
162	0.1374159672
163	0.1371561117
164	0.1368314748
165	0.1366751024
166	0.136561375
167	0.1362825674
168	0.13600585
169	0.1357194387
170	0.1354157782
171	0.1352765767
172	0.1348651125
173	0.1346157246
174	0.1343563171
175	0.1339804324
176	0.1337296998
177	0.1333978986
178	0.1331273261
179	0.1329510767
180	0.132846043
181	0.1324854016
182	0.1323234629
183	0.1321389361
184	0.1319291632
185	0.1317476439
186	0.1314880075
187	0.1311271345
188	0.1308435772
189	0.1306545534
190	0.1304008507
191	0.1302300454
192	0.1300233819
193	0.1297829786
194	0.1295817621
195	0.1294020001
196	0.1291502559
197	0.1288192807
198	0.12863288
199	0.1285066903
200	0.128304115
201	0.1280536872
202	0.1278409515
203	0.1277328822
204	0.1273545759
205	0.1271981256
206	0.1270279076
207	0.1267531619
